brand,price,year,mileage,color,vin,lot,state,country,condition
ford,2899,2011,190552.0,silver,2fmdk3gc4bbb02217,166951262,tennessee,usa,6 days left
dodge,5350,2018,39590.0,silver,3c4pdcgg5jt346413,167655728,georgia,usa,2 days left
ford,25000,2014,64146.0,blue,1ftfw1et4efc23745,167753855,virginia,usa,22 hours left
dodge,5700,2018,45561.0,white,2c4rdgeg9jr237989,167655771,texas,usa,2 days left
ford,5250,2017,63418.0,black,2fmpk3j92hbc12542,167656121,texas,usa,2 days left
dodge,10400,2009,107856.0,orange,2b3lj54t49h509675,167753874,georgia,usa,22 hours left
ford,20700,2013,100757.0,black,1ftfw1et7dfa47790,167753916,virginia,usa,22 hours left
ford,5210,2017,35714.0,white,2fmpk3j95hbb73607,167656124,texas,usa,2 days left
ford,38100,2013,54380.0,gray,1ft8w3dt5deb68569,167753923,virginia,usa,22 hours left
ford,6180,2017,46010.0,blue,2fmpk3j84hbc09276,167656125,texas,usa,2 days left
ford,20800,2013,105510.0,silver,1ftfw1efxdfa01008,167753937,virginia,usa,22 hours left
ford,4190,2017,44174.0,white,1fadp5auxhl109013,167656126,texas,usa,2 days left
ford,13000,2008,93698.0,white,1fdwf37r28eb95687,167754098,tennessee,usa,22 hours left
ford,5330,2017,37792.0,no_color,2fmpk3j9xhbb56401,167656127,texas,usa,2 days left
ford,13000,2003,58817.0,gray,1fahp60a63y107799,167754173,virginia,usa,22 hours left
ford,7320,2017,32366.0,gold,2fmpk4k96hbb16692,167656128,texas,usa,2 days left
ford,7000,2003,176567.0,white,1ftnx20p73ed69682,167754187,tennessee,usa,22 hours left
ford,6330,2017,38123.0,red,2fmpk3j85hbb79415,167656129,texas,usa,2 days left
ford,55000,2017,15273.0,black,1ft7w3bt5hee88155,167754310,pennsylvania,usa,3 days left
dodge,5580,2017,46829.0,gray,3c4pddeg7ht595704,167656130,texas,usa,2 days left
ford,54000,2017,26241.0,black,1ft7w3bt0hef02785,167754311,pennsylvania,usa,3 days left
