squareMeters,numberOfRooms,floors,numPrevOwners,basement,attic,garage,price
75523,3,63,8,4313,9005,956,7559081.5
80771,39,98,6,3653,2436,128,8085989.5
55712,58,19,8,2937,8852,135,5574642.1
32316,47,6,4,659,7141,359,3232561.2
70429,19,90,7,8435,2429,292,7055052
39223,36,17,6,2009,4552,757,3926647.2
58682,10,99,9,5930,9453,848,5876376.5
86929,100,11,4,6326,4748,654,8696869.3
51522,3,61,3,632,5792,807,5154055.2
39686,42,15,8,5198,5342,591,3970892.1
23563,21,90,8,703,852,684,2366397.3
96470,74,21,2,5414,1172,716,9652258.1
19127,31,5,9,5387,4430,374,1914688.8
13087,44,77,4,1745,724,582,1320803.4
79770,3,69,5,8871,7117,240,7986665.8
75985,60,67,9,4878,281,384,7607322.9
64169,88,6,9,3054,129,726,6420823.1
99371,31,16,8,3258,6296,354,9944705.3
25966,37,17,1,8257,2557,162,2604486.6
41792,43,10,5,2950,9573,572,4187667.7
28795,64,50,4,9862,2666,330,2888047.9
92383,12,78,7,7507,9056,892,9244344
33279,64,65,2,2427,717,732,3333351.9
34782,47,73,4,9586,6604,822,3482594
13386,51,90,6,2885,1149,904,1342509.3
20883,56,54,9,9982,8142,670,2091505.8
95121,46,3,9,615,1221,328,9515440.4
6071,72,14,6,3306,3635,295,612471.3
11844,43,55,5,5292,8233,395,1189939.3
52078,7,73,4,1864,2049,558,5217708.6
25897,98,92,4,9799,9569,116,2598763.3
85443,40,54,1,3056,8928,292,8555234.1
11412,78,79,5,6899,8997,695,1145642.9
97550,89,98,5,5391,897,388,9765099.4
76485,47,9,9,2860,3129,982,7653300.8
26169,29,62,7,7918,187,919,2622399.3
24239,87,91,7,6656,7149,698,2427801.8
36239,8,24,6,6679,6528,798,3627708
10500,88,49,1,4170,5501,422,1057021.3
87060,27,91,10,6629,435,512,8711426
66683,19,6,2,7473,796,237,6677649.1
66569,59,56,9,2020,7188,269,6667802.6
84559,29,69,7,3573,9556,918,8460604
28749,39,53,5,8113,2352,982,2877997.6
76091,38,32,8,8150,6037,930,7614076.6
92696,49,38,2,1559,5111,957,9272740.1
46988,66,27,10,8339,6331,874,4707341.1
48062,22,4,10,7908,552,817,4809993.8
5767,97,11,3,2516,5601,307,586742.8
59800,47,27,9,5075,3104,864,5984462.1
54836,25,53,5,5278,1059,313,5492532
54318,10,52,2,9580,3787,227,5444967.8
70021,52,28,6,4480,6919,680,7005572.2
54368,11,20,7,231,1939,223,5446398.1
31421,29,68,3,8949,2080,630,3147829.9
63053,6,28,1,8414,6270,939,6315375.7
4187,89,17,6,186,2627,559,421906.4
33108,82,83,10,6250,8751,552,3316069.6
64393,8,51,1,3835,2403,559,6441378
